system:index,classes,ksat,slope,distance,elevation,hand,twi,landcover_classification_2023,.geo
135,0,12.366918053750737,0.7307235,150.0,74.24555555555568,1.6322134,27.356215,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.35242195626817,-2.9739401217239845]}"
136,0,12.249916769660732,0.74522054,31.622776601683796,75.82666666666697,5.560742,27.356215,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.36913062055279,-2.995499688542853]}"
137,0,12.15431443576301,1.0202094,174.928556845359,83.9288888888851,6.680867,12.827479,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.36940011513803,-3.006953208415377]}"
138,0,13.115654087076376,6.899329,78.10249675906654,80.44222222223146,6.031665,14.377257,25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.36913062055279,-2.99374797373882]}"
139,0,12.750635417274982,3.7542655,58.309518948453004,72.72000000001998,0.0047175777,27.356215,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.35498215482791,-2.9758265838206355]}"
140,0,9.337980209003124,0.6369423,240.0,77.79888888888935,7.1585474,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.3466278226856,-2.972727396090423]}"
141,0,10.628469526976021,1.3102345,150.33296378372907,78.5711111111038,1.0270069,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.35376942919435,-2.982159706573678]}"
142,0,9.229212407308498,1.0966829,280.0,77.15000000000836,3.7222583,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.347975295611775,-2.972996890675659]}"
143,0,11.030812845145755,5.7345376,152.31546211727817,76.61555555549961,2.9090874,18.349266,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.35309569273126,-2.988223334741485]}"
144,0,13.883445245800141,1.1374135,391.1521443121589,80.09111111111108,11.383684,17.700916,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.362393255921894,-2.991861511642169]}"
